#-- One- and Two-neutron separation energies as evaluated by Audi et al., 
#-- G.Audi et al., Nuclear Physics A729 (2003) 337-676
#
#-------------------------------------------------
# A  elt  Z        S(n)                S(2n)      
#-------------------------------------------------
  1  n   0       0.0     0.0         *           
 15 F    9   23954.0    422.0        *             
 16 Be   4     191.0    711.0  	 -1581.0    520.0  
 16 B    5     -38.09   64.03	  2724.63   63.64
 16 C    6    4250.33    3.6768   5468.40    3.58
 16 N    7    2489.10    2.6284  13322.39    2.62
 16 O    8   15663.92    0.4900  28886.99    0.11
 16 F    9   14166.44  134.0532  38121.0    401.0  
 16 Ne  10       *           59      *           
 17 B    5    1382.19  181.10	  1344.10  172.33
 17 C    6     726.61   17.7438   4976.95   17.39
 17 N    7    5883.61   15.2499   8372.70   15.01
 17 O    8    4143.13    0.1111  19807.05    0.50
 17 F    9   16799.87    8.3225  30966.30  133.79
 17 Ne  10   15606.88   33.8595    902.0    803.0       *           
 18 B    5    -480.0    819.0  	   902.0    803.0  
 18 C    6    4183.97   34.66	  4910.58   30.22
 18 N    7    2828.22   23.8707   8711.83   18.76
 18 O    8    8044.03    0.6101  12187.15    0.62
 18 F    9    9149.32    0.5953  25949.19    8.34
 18 Ne  10   19215.05   26.9556  34821.93   20.48
 18 Na  11       *           94      *           
 19 B    5    1029.0    896.0  	   549.0    435.0  
 19 C    6     576.83   93.70	  4760.80   99.91
 19 N    7    5323.65   24.7821   8151.87   22.23
 19 O    8    3954.92    2.7656  11998.95    2.82
 19 F    9   10432.40    0.5462  19581.72    0.26
 19 Ne  10   11637.04    0.4029  30852.09   26.95
 19 Na  11   19334.48   51.7160      *           
 19 Mg  12       *           34      *           
 20 C    6    2934.37  258.61	  3511.20  241.04
 20 N    7    2168.34   57.9669   7491.99   58.61
 20 O    8    7608.73    2.8939  11563.65    0.88
 20 F    9    6601.34    0.0301  17033.74    0.54
 20 Ne  10   16864.69    0.2911  28501.73    0.28
 20 Na  11   14150.41   13.7367  33484.88   50.74
 20 Mg  12   23541.06  252.9515      *           
 21 C    6    -331.0    557.0  	  2603.0    513.0  
 21 N    7    4585.26  110.11	  6753.60   96.45
 21 O    8    3805.87   12.0331  11414.60   12.31
 21 F    9    8101.46    1.8067  14702.80    1.80
 21 Ne  10    6761.16    0.0462  23625.85    0.29
 21 Na  11   17103.20    6.7088  31253.60   12.02
 21 Mg  12   14731.16   31.6042  38272.22  252.04
 21 Al  13       *           	     *            
 22 C    6     750.0   1034.0  	   419.0    935.0  
 22 N    7    1283.81  214.43	  5869.07  200.09
 22 O    8    6850.07   58.1767  10655.94   56.93
 22 F    9    5230.39   12.5357  13331.85   12.40
 22 Ne  10   10364.26    0.0483  17125.42    0.02
 22 Na  11   11069.59    0.8142  28172.79    6.67
 22 Mg  12   19378.79   16.4737  34109.95   27.03
 22 Al  13   16008.0    312.0  	     *           
 22 Si  14       *           	     *            
 23 N    7    1714.0    355.0  	  2998.0    313.0  
 23 O    8    2742.51  134.5142   9592.58  122.46
 23 F    9    7534.95   80.5004  12765.34   79.56
 23 Ne  10    5200.65    0.1009  15564.90    0.11
 23 Na  11   12418.73    0.4108  23488.33    0.70
 23 Mg  12   13148.12    1.8629  32526.91   16.46
 23 Al  13   19485.0     95.0    35492.0    299.0  
 23 Si  14   16464.0    280.0  	     *            
 24 N    7   -1076.0    499.0  	   638.0    444.0  
 24 O    8    3613.88  265.82	  6356.39  243.00
 24 F    9    3841.54  107.4841  11376.49   73.34
 24 Ne  10    8868.79    0.4002  14069.44    0.39
 24 Na  11    6959.58    0.0880  19378.31    0.42
 24 Mg  12   16531.12    1.2904  29679.24    1.34
 24 Al  13   14897.83   18.8587  34382.0     93.0  
 24 Si  14   21088.0    197.0    37552.0    201.0  
 24 P   15       *           	     *            
 25 N    7    -890.0    643.0  	 -1966.0    585.0   
 25 O    8    -300.0    100.0  	  3314.0    284.0  
