// Pu239 data: obtained with examplePu239.dat file using coh 3.4.0-Oberon
94239 33 3
5.83 5.90 5.8 5.69
   0.0  100. 0. 0. 0.
   4.5  100. 0. 0. 0.
   5.0  100. 0. 0. 0.
   5.5  99.778 0.2242 0. 0.
   6.0  89.32 10.68 0. 0.
   6.5  76.925 23.075 0. 0.
   7.0  68.397 31.603 0. 0.
   7.5  63.22 36.78 0. 0.
   8.0  60.478 39.522 0. 0.
   8.5  58.852 41.148 0. 0.
   9.0  57.485 42.525 0. 0.
   9.5  56.039 43.961 0. 0.
  10.0  54.474 45.526 0. 0.
  10.5  52.819 47.177 0.004 0.
  11.0  51.076 48.843 0.081 0.
  11.5  48.879 50.125 0.996 0.
  12.0  45.403 49.813 4.784 0.
  12.5  40.701 47.968 11.33 0.
  13.0  36.022 45.292 18.686 0.
  13.5  32.042 42.759 25.199 0.
  14.0  29.113 41.095 29.792 0.
  14.5  27.104 40.469 32.419 0.008
  15.0  25.696 40.733 33.545 0.022
  15.5  24.537 41.599 33.807 0.057
  16.0  23.179 42.962 33.769 0.090
  16.5  21.669 43.896 34.287 0.148
  17.0  20.112 45.071 34.594 0.223
  17.5  18.381 46.135 35.164 0.320
  18.0  16.533 47.054 35.973 0.440
  18.5  14.694 47.755 36.949 0.602
  19.0  13.215 47.965 37.778 1.042
  19.5  12.160 47.362 38.121 2.357
  20.0 11.299 45.878 37.777 5.046
// U235 data: obtained with examplePu239.dat file using coh 3.4.0-Oberon
92235 36 3
5.63 6.15 5.8 5.8
  0. 100. 0. 0. 0.
  3.0  100. 0. 0. 0.
  3.5 99.999 0.001 0. 0.
  4.0 99.999 0.001 0. 0.
  4.5 99.997 0.003 0. 0.
  5.0 99.990 0.010 0. 0.
  5.5 99.511 0.489 0. 0.
  6.0 94.307 5.693 0. 0.
  6.5 73.692 26.308 0. 0.
  7.0 57.908 42.092 0. 0.
  7.5 52.388 47.612 0. 0.
  8.0 51.151 48.849 0. 0.
  8.5 51.757 48.243 0. 0.
  9.0 51.680 48.320 0. 0.
  9.5 52.145 47.854 0. 0.
 10.0 52.050 47.945 0. 0.
 10.5 51.493 48.253 0. 0.
 11.0 48.576 46.630  4.794 0.
 11.5 39.679 39.149 21.172 0.
 12.0 29.458 29.929 40.613 0.
 12.5 22.807 23.868 53.325 0.
 13.0 18.055 19.443 62.502 0.
 13.5 15.562 17.189 67.249 0.
 14.0 14.546 16.403 69.047 0.
 14.5 14.454 16.581 68.948 0.017
 15.0 14.925 17.367 67.665 0.043
 15.5 15.651 18.456 65.809 0.084
 16.0 16.278 19.667 63.920 0.135
 16.5 16.840 20.645 62.323 0.192
 17.0 17.182 21.382 61.184 0.252
 17.5 17.305 21.885 60.492 0.318
 18.0 17.262 22.182 60.158 0.399
 18.5 17.069 22.284 59.956 0.691
 19.0 16.612 22.053 59.249 2.085
 19.5 15.769 21.273 57.253 5.705
 20.0 14.545 19.939 53.740 11.776


